,y_i,fold
0,0.16643497,B
1,0.1748861,A
2,0.20323348,B
3,0.15884706,A
4,0.13531801,C
5,0.14884889,E
6,0.17716548,B
7,0.15198301,C
8,0.15924633,C
9,0.20927694,A
10,0.36751646,E
11,0.14497383,B
12,0.12213723,B
13,0.08565056,D
14,0.110059485,E
15,0.12791526,E
16,0.13104194,A
17,0.1286567,A
18,0.12864472,C
19,0.2237337,A
20,0.22092026,A
21,0.22734973,A
22,0.22538874,A
23,0.19418068,C
24,0.25262755,C
25,0.17517132,A
26,0.21545063,A
27,0.13805586,E
28,0.17066756,A
29,0.15249355,C
30,0.23162368,A
31,0.14656843,D
32,0.28846988,E
33,0.23641707,E
34,0.32340056,E
35,0.5972898,E
36,0.24308388,E
37,0.30135626,E
38,0.25263423,E
39,0.26674876,E
40,0.27053505,E
41,0.26732838,E
42,0.5800772,E
43,0.47638515,E
44,0.31884688,E
45,0.15992516,E
46,0.1588495,E
47,0.1319458,E
48,0.15369941,E
49,0.26067865,E
50,0.24568126,E
51,0.27901584,E
52,0.31865826,E
53,0.26383594,E
54,0.29803842,E
55,0.60743845,E
56,0.58279234,E
57,0.2449375,E
58,0.2617224,E
59,0.2600623,E
60,0.24190128,E
61,0.28656507,E
62,0.20653093,B
63,0.29860723,C
64,0.25320774,A
65,0.13591163,E
66,0.15772474,D
67,0.10979113,B
68,0.11484063,E
69,0.16203524,B
70,0.15970454,E
71,0.17036223,E
72,0.15336269,E
73,0.15929508,E
74,0.17954603,A
75,0.16122225,E
76,0.15499654,E
77,0.30373076,E
78,0.13889603,D
79,0.2564357,E
80,0.10767798,A
81,0.19376749,A
82,0.15976603,C
83,0.14013563,E
84,0.16517226,D
85,0.11058521,B
86,0.13926819,B
87,0.13679077,E
88,0.09516975,C
89,0.108479336,B
90,0.10258233,B
91,0.12577137,B
92,0.11273063,E
93,0.116491236,C
94,0.13492642,E
95,0.13317949,A
96,0.1592553,D
97,0.102659136,A
98,0.16633353,C
99,0.17756885,A
100,0.14375415,D
101,0.11410143,D
102,0.31896764,B
103,0.16770194,E
104,0.19549277,E
105,0.14553611,A
106,0.12064884,D
107,0.080118805,C
108,0.25816453,B
109,0.18665335,B
110,0.17478788,D
111,0.1574383,B
112,0.23399857,C
113,0.1411402,C
114,0.3180219,C
115,0.12674144,C
116,0.15937343,A
117,0.65357786,E
118,0.36014113,E
119,0.5240054,B
120,0.47584385,B
121,0.46464646,A
122,0.3498782,A
123,0.54956377,E
124,0.5331088,E
125,0.14578244,B
126,0.18068868,B
127,0.37299067,A
128,0.6140219,E
129,0.24695943,A
130,0.25974536,B
131,0.25911778,B
132,0.22570525,A
133,0.22573258,A
134,0.22750646,C
135,0.12861627,C
136,0.34106755,B
137,0.63244283,E
138,0.3444777,B
139,0.16952896,B
140,0.16370276,B
141,0.16835842,D
142,0.19160998,C
143,0.40616882,A
144,0.26888067,A
145,0.14163007,A
146,0.16034609,A
147,0.17134306,D
148,0.6191884,E
149,0.21596925,D
150,0.15420395,B
151,0.17696503,B
152,0.14776203,D
153,0.2087664,B
154,0.13924378,B
155,0.16746734,B
156,0.4796999,B
157,0.48224527,B
158,0.56247973,E
159,0.16410083,B
160,0.46513885,B
161,0.4801655,B
162,0.17152387,D
163,0.36245316,B
164,0.15469958,C
165,0.21849525,C
166,0.17542283,E
167,0.16756861,B
168,0.5719044,E
169,0.18910518,B
170,0.5796385,C
171,0.5964521,C
172,0.39505863,E
173,0.1547056,B
174,0.21336472,E
175,0.20928302,E
176,0.15378922,C
177,0.14521778,E
178,0.1442962,E
179,0.14599833,B
180,0.32295975,C
181,0.16403142,C
182,0.13889955,A
183,0.13000585,A
184,0.1387613,E
185,0.10539524,C
186,0.24506226,B
187,0.17206839,E
188,0.17700525,D
189,0.15135686,D
190,0.15481687,C
191,0.13381387,E
192,0.5366402,A
193,0.56578743,A
194,0.4698725,A
195,0.46254808,A
196,0.428719,A
197,0.4193657,A
198,0.55480623,C
199,0.5949734,C
200,0.2798156,E
201,0.2537276,E
202,0.17675245,A
203,0.20537779,D
204,0.1507327,E
205,0.14693817,B
206,0.13448623,B
207,0.11289219,D
208,0.16393672,E
209,0.17061591,E
210,0.15619414,A
211,0.13499403,A
212,0.45701045,D
213,0.34428057,D
214,0.14932463,A
215,0.14483127,A
216,0.14488822,A
217,0.1521715,E
218,0.11378666,A
219,0.11391552,A
220,0.21561939,B
221,0.15403152,B
222,0.13571054,E
223,0.12964627,E
224,0.1717071,B
225,0.13533758,B
226,0.13881893,B
227,0.15934217,B
228,0.14765528,B
229,0.1475818,B
230,0.15654974,B
231,0.4639259,D
232,0.47490656,D
233,0.47732452,D
234,0.5139672,D
235,0.4483611,D
236,0.49482238,D
237,0.47826797,D
238,0.47297353,D
239,0.41333014,B
240,0.43743113,B
241,0.5116961,A
242,0.6184703,A
243,0.5343212,D
244,0.60790014,D
245,0.17355938,A
246,0.17663106,D
247,0.17863533,D
248,0.171883,D
249,0.19979021,D
250,0.16340286,D
251,0.15762112,E
252,0.14688425,D
253,0.14747086,B
254,0.15160662,B
255,0.19532146,A
256,0.14107482,A
257,0.1727986,B
258,0.19378524,B
259,0.22697237,A
260,0.20282553,A
261,0.2610768,E
262,0.29214832,E
263,0.35205525,B
264,0.19977006,B
265,0.14550021,D
266,0.15466079,D
267,0.1486568,B
268,0.11953245,E
269,0.20575559,A
270,0.20903079,A
271,0.14699724,A
272,0.14944303,A
273,0.10469761,E
274,0.112798914,E
275,0.14883938,C
276,0.15485802,C
277,0.18272302,A
278,0.31400084,A
279,0.48627856,C
280,0.14497834,C
281,0.14447378,A
282,0.1588212,E
283,0.21430111,D
284,0.16566944,D
285,0.44898498,B
286,0.41298416,B
287,0.3534088,D
288,0.12905544,D
289,0.6271242,E
290,0.6350701,E
291,0.63292897,E
292,0.6069597,E
293,0.63034046,E
294,0.6234202,E
295,0.6013056,E
296,0.5937989,E
297,0.67981195,E
298,0.62807256,E
299,0.6310067,E
300,0.62785923,E
301,0.6225138,E
302,0.65819407,E
303,0.6045106,E
304,0.62453866,E
305,0.6272838,E
306,0.6272838,E
307,0.63227105,E
308,0.63609725,E
309,0.6281469,E
310,0.5986163,E
311,0.6156615,E
312,0.5954293,E
313,0.5986639,E
314,0.61427677,E
315,0.61928403,E
316,0.61372685,E
317,0.55666757,E
318,0.5781819,E
319,0.540177,E
320,0.5773034,E
321,0.58958364,E
322,0.5294906,E
323,0.5593751,E
324,0.66506743,E
325,0.6677141,E
326,0.32698396,E
327,0.36651084,E
328,0.56971616,E
329,0.5330694,E
330,0.3745459,E
331,0.38610005,E
332,0.36597782,E
333,0.42277056,E
334,0.39939845,E
335,0.3857425,E
336,0.35611695,E
337,0.58585465,E
338,0.60699093,E
339,0.6252377,E
340,0.61265385,E
341,0.58996105,E
342,0.60924643,E
343,0.58999383,E
344,0.60498047,E
345,0.47734323,E
346,0.5046141,E
347,0.20390688,E
348,0.17291439,E
349,0.1869275,B
350,0.35811466,C
351,0.48279822,E
352,0.45297107,E
353,0.16977292,B
354,0.5115959,E
355,0.1394897,A
356,0.45168877,E
357,0.17414466,B
358,0.17237863,D
359,0.277975,E
360,0.3178929,E
361,0.15153098,B
362,0.42886597,E
363,0.3028093,A
364,0.396989,E
365,0.4383285,E
366,0.6353177,E
367,0.567214,E
368,0.33246708,E
369,0.62986434,E
370,0.4516684,A
371,0.26959062,C
372,0.64006835,E
373,0.22421971,C
374,0.24239667,E
375,0.2617888,C
376,0.35516304,A
377,0.3603166,E
378,0.3529707,E
379,0.5740508,E
380,0.24800429,A
381,0.26734054,E
382,0.4436394,E
383,0.46879733,D
384,0.48310128,D
385,0.48688453,D
386,0.4807318,D
387,0.4510196,D
388,0.12500817,C
389,0.50763816,D
390,0.10327761,D
391,0.3920613,D
392,0.16426975,D
393,0.48408478,A
394,0.4975065,A
395,0.5315356,A
396,0.4784804,A
397,0.41408533,A
398,0.55058944,A
399,0.35081804,C
400,0.57412493,A
401,0.46618682,A
402,0.47745585,A
403,0.14057726,D
404,0.46717352,A
405,0.42562255,D
406,0.22905433,B
407,0.18916334,B
408,0.41472313,D
409,0.40410495,D
410,0.4574582,D
411,0.4422633,D
412,0.44839016,D
413,0.3566429,E
414,0.42612162,D
415,0.20686868,D
416,0.19607082,E
417,0.3466354,B
418,0.16010436,E
419,0.3286312,B
420,0.26935056,C
421,0.21522337,C
422,0.14719343,E
423,0.17681354,D
424,0.3070987,B
425,0.18461943,D
426,0.32867622,B
427,0.3073203,B
428,0.13895234,E
429,0.25736415,B
430,0.3003242,B
431,0.2095161,E
432,0.1866188,B
433,0.1941407,B
434,0.18562181,D
435,0.1724747,A
436,0.18388401,D
437,0.41411453,C
438,0.111221015,C
439,0.20932087,B
440,0.09534532,C
441,0.41572407,A
442,0.24733208,B
443,0.2186891,E
444,0.47767264,C
445,0.4588533,C
446,0.20575075,E
447,0.26839194,A
448,0.24864848,B
449,0.20451397,E
450,0.20983562,E
451,0.15608647,A
452,0.22795905,B
453,0.24772176,B
454,0.21271841,A
455,0.16305092,C
456,0.28051686,B
457,0.24296969,A
458,0.23929432,A
459,0.2884755,A
460,0.2962367,A
461,0.3279836,A
462,0.2795354,B
463,0.3524218,B
464,0.28589532,B
465,0.34581187,B
466,0.35215437,B
467,0.35442185,B
468,0.24040824,B
469,0.45263803,B
470,0.5478469,B
471,0.5337871,B
472,0.20983714,C
473,0.22174221,A
474,0.53488445,B
475,0.5327808,B
476,0.5489923,B
477,0.21961355,E
478,0.44260722,A
479,0.23389569,B
480,0.17189303,C
481,0.40068656,E
482,0.54283756,B
483,0.19379355,E
484,0.5010247,B
485,0.25844806,B
486,0.5661171,B
487,0.23838902,D
488,0.15367883,E
489,0.21705544,B
490,0.2492862,D
491,0.4302306,D
492,0.5155502,D
493,0.21570978,D
494,0.31172818,A
495,0.24409091,E
496,0.34341127,B
497,0.2567864,E
498,0.29530704,A
499,0.41986817,D
500,0.19576171,C
501,0.2701389,B
502,0.3556394,D
503,0.27768508,A
504,0.20414355,C
505,0.26279616,A
506,0.4308111,D
507,0.5026449,D
508,0.50792146,D
509,0.2649246,B
510,0.30466485,B
511,0.30619723,A
512,0.15391278,D
513,0.2882962,B
514,0.2694983,E
515,0.27662003,E
516,0.40833688,E
517,0.2882697,E
518,0.69795,E
519,0.30306545,E
520,0.22698736,E
521,0.41313416,E
522,0.27937943,E
523,0.6310941,E
524,0.24336636,C
525,0.45700228,E
526,0.33554143,E
527,0.26453355,E
528,0.7465793,E
529,0.3448754,E
530,0.7377773,E
531,0.7420645,E
532,0.6008166,E
533,0.532244,E
534,0.40323463,E
535,0.61071336,E
536,0.32401615,E
537,0.74456763,E
538,0.28250286,E
539,0.42955482,E
540,0.57963854,E
541,0.3153042,E
542,0.42417237,D
543,0.109246865,C
544,0.25356796,A
545,0.35280228,D
546,0.123435594,A
547,0.18927668,D
548,0.30632666,D
549,0.20409253,A
550,0.108414814,C
551,0.4122836,D
552,0.09511409,C
553,0.20239267,D
554,0.26094347,A
555,0.42903125,D
556,0.18095008,B
557,0.19453156,D
558,0.30890426,D
559,0.21711701,D
560,0.24182647,C
561,0.50996405,B
562,0.14620732,C
563,0.13502213,D
564,0.51378345,B
565,0.50889295,B
566,0.1550999,C
567,0.5093082,B
568,0.45954633,B
569,0.44958028,B
570,0.48935223,B
571,0.11337644,A
572,0.14757124,E
573,0.44478285,A
574,0.20625195,A
575,0.505654,A
576,0.10026671,C
577,0.5017741,A
578,0.5122384,A
579,0.1533618,C
580,0.5117198,A
581,0.5085391,A
582,0.2151436,D
583,0.1782727,A
584,0.2078445,D
585,0.51981515,A
586,0.4892261,A
587,0.52321374,A
588,0.49988556,A
589,0.5156758,A
590,0.49218333,A
591,0.13754408,E
592,0.16402619,E
593,0.30105615,E
594,0.2689968,A
595,0.41779345,E
596,0.14352608,B
597,0.4058991,E
598,0.10983953,C
599,0.2264395,E
600,0.20577931,D
601,0.15953475,A
602,0.12230396,A
603,0.4202312,E
604,0.14414436,D
605,0.14786449,D
606,0.41582498,E
607,0.116187625,E
608,0.45506436,E
609,0.11574858,E
610,0.50540257,E
611,0.25521806,E
612,0.37829578,E
613,0.3905506,E
614,0.34163693,B
615,0.31706846,A
616,0.5649098,A
617,0.29934984,B
618,0.62647045,A
619,0.4984038,A
620,0.31895652,B
621,0.46539885,A
622,0.65052783,A
623,0.64715207,A
624,0.5562146,A
625,0.101290636,B
626,0.19976832,E
627,0.113738745,D
628,0.58377564,C
629,0.28594065,C
630,0.37244147,C
631,0.25454506,E
632,0.22050485,B
633,0.10383198,E
634,0.2104623,A
635,0.5016483,C
636,0.08224319,C
637,0.60942984,C
638,0.2693413,E
639,0.21592113,B
640,0.15326934,A
641,0.14713123,C
642,0.14651561,B
643,0.21418543,D
644,0.18942761,A
645,0.5541022,C
646,0.25174406,C
647,0.0912146,A
648,0.5493827,C
649,0.28500062,D
650,0.415102,B
651,0.20001966,C
652,0.514786,B
653,0.5055661,B
654,0.31547284,A
655,0.5063171,B
656,0.49275985,B
657,0.17285876,B
658,0.48187032,B
659,0.3283052,A
660,0.3227358,A
661,0.19027677,E
662,0.27003366,E
663,0.52377874,E
664,0.48649684,E
665,0.3145569,E
666,0.18841955,D
667,0.20085758,D
668,0.14735053,D
669,0.15568021,D
670,0.19386964,B
671,0.18911363,B
672,0.15432294,D
673,0.21612412,D
674,0.27883536,A
675,0.5445123,E
676,0.27327117,E
677,0.3114978,D
678,0.31478298,D
679,0.3440771,E
680,0.208805,E
681,0.22240083,C
682,0.16701531,A
683,0.27034897,C
684,0.37694973,A
685,0.21705022,D
686,0.16215102,C
687,0.24477826,D
688,0.25301212,A
689,0.16229163,B
690,0.16724318,D
