,y_i,fold
0,0.17672403,E
1,0.18180686,E
2,0.22053573,E
3,0.18010604,E
4,0.1499401,E
5,0.13816516,E
6,0.17307495,E
7,0.13658309,E
8,0.15336323,E
9,0.20045419,E
10,0.41264945,E
11,0.1410484,E
12,0.13284656,E
13,0.12324853,E
14,0.12554574,E
15,0.15575336,E
16,0.15991566,E
17,0.13459942,E
18,0.14516425,E
19,0.1933105,E
20,0.20132141,E
21,0.19684458,E
22,0.20160884,E
23,0.28307948,E
24,0.24329117,E
25,0.17396086,E
26,0.19429705,E
27,0.15571447,E
28,0.16444016,E
29,0.15214854,E
30,0.1973144,E
31,0.16991349,E
32,0.2877966,E
33,0.26500311,E
34,0.3029139,E
35,0.648337,E
36,0.22601537,E
37,0.2834856,E
38,0.27676457,E
39,0.27300566,E
40,0.27342665,E
41,0.25417325,E
42,0.6227765,E
43,0.47474897,E
44,0.3045203,E
45,0.16705894,E
46,0.16340822,E
47,0.15581056,E
48,0.16307884,E
49,0.2807079,E
50,0.23226953,E
51,0.2923342,E
52,0.30173647,E
53,0.26342684,E
54,0.28983867,E
55,0.6411736,E
56,0.6145605,E
57,0.2711566,E
58,0.27952653,E
59,0.25875112,E
60,0.23973987,E
61,0.2919867,E
62,0.19411841,E
63,0.3126983,E
64,0.25432688,E
65,0.15595633,E
66,0.15625629,E
67,0.13899648,E
68,0.12863219,E
69,0.18956971,E
70,0.14596704,E
71,0.16676793,E
72,0.15226619,E
73,0.1714328,E
74,0.16519389,E
75,0.15189229,E
76,0.14863259,E
77,0.29470092,E
78,0.14390375,E
79,0.25446352,E
80,0.12900771,E
81,0.16718103,E
82,0.16641995,E
83,0.17561491,E
84,0.17201573,E
85,0.12095468,E
86,0.14517978,E
87,0.15903875,E
88,0.14108592,E
89,0.12737861,E
90,0.12562451,E
91,0.13462773,E
92,0.13112262,E
93,0.15556085,E
94,0.14850277,E
95,0.1430772,E
96,0.15252766,E
97,0.12812573,E
98,0.16298465,E
99,0.17312917,E
100,0.16324264,E
101,0.13405384,E
102,0.31692174,E
103,0.16776092,E
104,0.1738926,E
105,0.15516002,E
106,0.13448885,E
107,0.13722154,E
108,0.2491637,E
109,0.1885693,E
110,0.16578022,E
111,0.18329576,E
112,0.17905043,E
113,0.15439394,E
114,0.29783756,E
115,0.13190909,E
116,0.15213636,E
117,0.61165464,E
118,0.38401932,E
119,0.50178975,E
120,0.50582594,E
121,0.4170863,E
122,0.3229544,E
123,0.5599156,E
124,0.4954811,E
125,0.14838472,E
126,0.17974985,E
127,0.3443376,E
128,0.6258024,E
129,0.25594983,E
130,0.22084181,E
131,0.22128057,E
132,0.22911301,E
133,0.23799583,E
134,0.19520843,E
135,0.17966099,E
136,0.37029606,E
137,0.6147933,E
138,0.33147815,E
139,0.15590781,E
140,0.15414366,E
141,0.18135059,E
142,0.17392246,E
143,0.3920861,E
144,0.3036692,E
145,0.15682864,E
146,0.16526808,E
147,0.19950332,E
148,0.60830516,E
149,0.23141856,E
150,0.15432028,E
151,0.17208335,E
152,0.17501375,E
153,0.18908319,E
154,0.18389934,E
155,0.16772786,E
156,0.48185784,E
157,0.51067936,E
158,0.5755292,E
159,0.17362922,E
160,0.48686185,E
161,0.4952904,E
162,0.15688638,E
163,0.36519527,E
164,0.19053566,E
165,0.19342025,E
166,0.17903289,E
167,0.17633346,E
168,0.5821372,E
169,0.18554088,E
170,0.5800721,E
171,0.5924954,E
172,0.40147516,E
173,0.1684356,E
174,0.21911505,E
