,y_i,fold
0,0.18577059,B
1,0.16375254,B
2,0.25103885,B
3,0.16764894,B
4,0.13481113,B
5,0.14708012,B
6,0.1821903,B
7,0.16212009,B
8,0.24784435,B
9,0.23984244,B
10,0.4185723,B
11,0.124444656,B
12,0.13129479,B
13,0.1380611,B
14,0.159195,B
15,0.1666629,B
16,0.15998718,B
17,0.15565503,B
18,0.15168191,B
19,0.22749187,B
20,0.24692312,B
21,0.2460443,B
22,0.2515843,B
23,0.39945298,B
24,0.35647953,B
25,0.29332763,B
26,0.23541856,B
27,0.22514749,B
28,0.15933281,B
29,0.16781424,B
30,0.23580241,B
31,0.351796,B
32,0.29194066,B
33,0.24476197,B
34,0.32648498,B
35,0.57251084,B
36,0.23789252,B
37,0.26657903,B
38,0.2682557,B
39,0.27469593,B
40,0.27923125,B
41,0.27262115,B
42,0.59704125,B
43,0.51472247,B
44,0.26440966,B
45,0.17746933,B
46,0.17813335,B
47,0.14839545,B
48,0.16675206,B
49,0.27722567,B
50,0.23587829,B
51,0.2678601,B
52,0.32696524,B
53,0.26667577,B
54,0.31791058,B
55,0.5979501,B
56,0.5933592,B
57,0.25560793,B
58,0.2682557,B
59,0.27262115,B
60,0.23819113,B
61,0.31791055,B
62,0.17972007,B
63,0.28712168,B
64,0.2788349,B
65,0.13118738,B
66,0.14522018,B
67,0.14052847,B
68,0.12517843,B
69,0.17223588,B
70,0.15326935,B
71,0.19829105,B
72,0.13748896,B
73,0.1963696,B
74,0.14640267,B
75,0.15546998,B
76,0.15304855,B
77,0.29250187,B
78,0.31060636,B
79,0.24284124,B
80,0.12052126,B
81,0.14727494,B
82,0.23562777,B
83,0.15581957,B
84,0.24859878,B
85,0.13859561,B
86,0.14517622,B
87,0.14775178,B
88,0.14174195,B
89,0.13063203,B
90,0.1427271,B
91,0.1456568,B
92,0.14097698,B
93,0.14095177,B
94,0.13505831,B
95,0.14285669,B
96,0.14090559,B
97,0.13485928,B
98,0.16022643,B
99,0.1863904,B
100,0.16070424,B
101,0.13745119,B
102,0.34153545,B
103,0.16678722,B
104,0.20481867,B
105,0.16077535,B
106,0.1550888,B
107,0.18004479,B
108,0.27504534,B
109,0.23172005,B
110,0.23561245,B
111,0.33556992,B
112,0.23668832,B
113,0.13522802,B
114,0.38203144,B
115,0.1243549,C
116,0.14624669,C
117,0.64619756,C
118,0.3288477,C
119,0.5670289,C
120,0.4136359,C
121,0.5458002,C
122,0.3778474,C
123,0.5570464,C
124,0.50224876,C
125,0.17481852,C
126,0.22438738,C
127,0.3355074,C
128,0.62335986,C
129,0.22525105,C
130,0.3970132,C
131,0.38048685,C
132,0.20915456,C
133,0.22360632,C
134,0.17287707,C
135,0.15073791,C
136,0.37215668,C
137,0.65526754,C
138,0.33473867,C
139,0.19051176,C
140,0.19477668,C
141,0.1611006,C
142,0.1370529,C
143,0.4212902,C
144,0.23963572,C
145,0.1522733,C
146,0.1631678,C
147,0.19094598,C
148,0.645406,C
149,0.24042773,C
150,0.15525037,C
151,0.20025425,C
152,0.18254519,C
153,0.23521484,C
154,0.21546924,C
155,0.16623317,C
156,0.52171266,C
157,0.4427925,C
158,0.559951,C
159,0.20015001,C
160,0.47617623,C
161,0.43973333,C
162,0.19259723,C
163,0.36741796,C
164,0.23762047,C
165,0.22506645,C
166,0.17643347,C
167,0.16082567,C
168,0.5939374,C
169,0.23600492,C
170,0.6144505,C
171,0.5957626,C
172,0.3870895,C
173,0.13379219,C
174,0.23817955,C
175,0.24323772,C
176,0.15399328,C
177,0.14184119,C
178,0.13192514,C
179,0.17696203,C
180,0.28121215,C
181,0.152817,C
182,0.15551873,C
183,0.123288594,C
184,0.11723269,C
185,0.0921571,C
186,0.20052886,C
187,0.14052981,C
188,0.11450006,C
189,0.11860971,C
190,0.11443382,C
191,0.12750182,C
192,0.5634844,C
193,0.49830818,C
194,0.4615438,C
195,0.40532827,C
196,0.39749053,C
197,0.4097578,C
198,0.50458527,C
199,0.50122875,C
200,0.3460629,C
201,0.34127426,C
202,0.1428422,C
203,0.11565825,C
204,0.15210709,C
205,0.13732445,C
206,0.14842911,C
207,0.13211173,C
208,0.14771463,C
209,0.18440314,C
210,0.16977832,C
211,0.12228668,C
212,0.34412688,C
213,0.2687529,C
214,0.14080903,C
215,0.14336511,C
216,0.14233723,C
217,0.16108996,C
218,0.12527712,C
219,0.101683795,C
220,0.1365733,C
221,0.1450181,C
222,0.12972414,C
223,0.12762457,C
224,0.15116793,C
225,0.13001963,C
226,0.14173229,C
227,0.13489792,C
228,0.14446369,C
229,0.13703042,C
230,0.14697869,C
231,0.66271925,C
232,0.66271925,C
233,0.6698725,C
234,0.66271925,C
235,0.6261467,C
236,0.66271925,C
237,0.6627192,C
238,0.6698725,C
239,0.47988474,C
240,0.49478948,C
241,0.555411,C
242,0.67332596,C
243,0.5543256,C
244,0.66485125,C
245,0.18892303,C
